subject_name,course_title,course_url
Engineering Courses,Industrial Biotechnology,https://www.classcentral.com/course/edx-industrial-biotechnology-3443
Engineering Courses,The Mechatronics Revolution: Fundamentals and Core Concepts,https://www.classcentral.com/course/edx-the-mechatronics-revolution-fundamentals-and-core-concepts-19083
Engineering Courses,L'art des structures 1 : Câbles et arcs,https://www.classcentral.com/course/structures-1187
Engineering Courses,Planning & Design of Sanitation Systems and Technologies,https://www.classcentral.com/course/sanitation-2230
Engineering Courses,Information Theory,https://www.classcentral.com/course/informationtheory-316
Engineering Courses,التقانة والمستشعرات النانوية - الجزء الاول,https://www.classcentral.com/course/nanosar1-1012
Engineering Courses,Introduction to Systems Engineering,https://www.classcentral.com/course/introse-1381
Engineering Courses,Introduction to Electronics,https://www.classcentral.com/course/introtoelectronics-2466
Engineering Courses,Municipal Solid Waste Management in Developing Countries,https://www.classcentral.com/course/mswm-4080
Engineering Courses,Robótica,https://www.classcentral.com/course/robotica-inicial-4659
Engineering Courses,Villes africaines : Restructuration des quartiers précaires,https://www.classcentral.com/course/bidonvilles-4516
Engineering Courses,Análisis de Sistemas de Transporte,https://www.classcentral.com/course/analisis-sistemas-de-transporte-4728
Engineering Courses,"Nanotechnology and Nanosensors, Part 2",https://www.classcentral.com/course/nanosensors2-5199
Engineering Courses,"Nanotechnology and Nanosensors, Part1",https://www.classcentral.com/course/nanosensors1-5200
Engineering Courses,التقانة والمستشعرات النانوية - الجزء الثاني,https://www.classcentral.com/course/taknulujia-alnnanu2-5452
Engineering Courses,"Imagery, Automation, and Applications",https://www.classcentral.com/course/gis-applications-5586
Engineering Courses,Quantitative Model Checking,https://www.classcentral.com/course/quantitative-model-checking-7502
Engineering Courses,Advanced Manufacturing Process Analysis,https://www.classcentral.com/course/advanced-manufacturing-process-analysis-8154
Engineering Courses,Intelligent Machining,https://www.classcentral.com/course/intelligent-machining-8295
Engineering Courses,Cyber Security in Manufacturing,https://www.classcentral.com/course/cyber-security-manufacturing-8308
Engineering Courses,Advanced Manufacturing Enterprise,https://www.classcentral.com/course/advanced-manufacturing-enterprise-8310
Engineering Courses,Roadmap to Success in Digital Manufacturing & Design,https://www.classcentral.com/course/roadmap-success-digital-manufacturing-de-8317
Engineering Courses,Battery Storage: Understanding the Battery Revolution,https://www.classcentral.com/course/energy-storage-11486
Engineering Courses,Optical Efficiency and Resolution,https://www.classcentral.com/course/optical-efficiency-and-resolution-11815
Engineering Courses,Embedded Software and Hardware Architecture,https://www.classcentral.com/course/embedded-software-hardware-11821
Health & Medicine Courses,Preventing Dementia,https://www.classcentral.com/course/independent-preventing-dementia-6565
Health & Medicine Courses,Understanding Clinical Research: Behind the Statistics,https://www.classcentral.com/course/clinical-research-5037
Health & Medicine Courses,Understanding Multiple Sclerosis (MS),https://www.classcentral.com/course/independent-understanding-multiple-sclerosis-ms-13338
